depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
5.880000 31.121067 31.945177 33.515094 34.645022 38.826012 41.547816
5.930000 31.312047 32.173637 33.708148 34.965022 39.232310 41.809601
6.000000 31.554066 32.469664 33.966363 35.429604 39.757758 42.188856
6.050000 31.771673 32.692917 34.196575 35.734488 40.145047 42.472259
6.100000 31.975664 32.899834 34.430524 36.028859 40.434326 42.783535
6.150000 32.220554 33.148937 34.643467 36.328158 40.706285 43.243979
6.200000 32.399435 33.371754 34.891344 36.606888 41.024066 43.517342
6.250000 32.653702 33.633276 35.165233 36.902991 41.408476 44.121116
6.300000 32.931148 33.874095 35.485353 37.206998 41.778574 44.558143
6.350000 33.185418 34.181856 35.810624 37.523151 42.062109 45.030558
